date;model;ewather;accuracy;recall_0;recall_1;timeSeg
29/09/2019;GBTC;N;67.353;70.846;63.705;1708
05/10/2019;GBTC;N;67.112;69.667;64.458;2325
23/09/2019;GBTC;N;66.261;68.258;64.191;643
29/09/2019;GBTC;Y;67.117;70.847;63.290;2046
05/10/2019;GBTC;Y;66.901;70.146;63.539;2060
02/10/2019;GBTC;Y;66.742;69.244;64.171;2293
23/09/2019;GBTC;Y;66.605;65.279;68.002;735
23/09/2019;LinearSVM;N;68.925;71.511;57.988;316
29/09/2019;LinearSVM;N;66.322;67.075;63.051;884
29/09/2019;LinearSVM;Y;65.209;64.557;68.057;1769
23/09/2019;LinearSVM;Y;64.490;63.384;69.226;615
04/10/2019;LR;N;81.770;100.0;0.0;200
23/09/2019;LR;N;66.260;66.174;66.625;287
23/09/2019;LR;Y;66.517;66.142;68.111;431
23/09/2019;NB;N;65.205;64.798;66.958;7
01/10/2019;NB;N;65.067;64.835;66.058;11
18/10/2019;NB;N;65.037;64.776;66.223;353
28/09/2019;NB;N;64.921;64.690;65.944;10
02/10/2019;NB;N;64.733;64.295;66.720;6
28/09/2019;NB;Y;65.009;64.615;66.721;12
27/09/2019;NB;Y;65.005;64.559;66.950;15
27/09/2019;NB;Y;64.890;64.514;66.558;7
28/09/2019;NB;Y;64.819;64.497;66.246;16
27/09/2019;NB;Y;64.783;64.402;66.443;13
02/10/2019;NB;Y;64.732;64.346;66.460;15
27/09/2019;NB;Y;64.678;64.222;66.671;11
28/09/2019;NB;Y;64.654;64.228;66.523;6
23/09/2019;NB;Y;64.613;64.158;66.571;7
28/09/2019;NB;Y;64.572;64.139;66.511;15
28/09/2019;NB;Y;64.505;63.728;67.903;15
23/09/2019;OneVsRestLR;N;66.295;65.973;67.677;59
29/09/2019;OneVsRestLR;N;65.710;65.282;67.579;85
29/09/2019;OneVsRestLR;Y;66.381;66.265;66.892;58
23/09/2019;OneVsRestLR;Y;66.361;66.066;67.624;56
29/09/2019;OneVsRestSVM;N;64.964;64.375;67.528;341
23/09/2019;OneVsRestSVM;N;64.961;64.170;68.318;278
23/09/2019;OneVsRestSVM;Y;65.240;64.681;67.625;337
29/09/2019;OneVsRestSVM;Y;64.894;64.256;67.689;396
23/09/2019;RF;N;63.908;69.911;57.797;113
29/09/2019;RF;N;63.906;65.924;61.844;138
28/09/2019;RF;Y;64.086;69.521;58.495;153
23/09/2019;RF;Y;63.580;66.703;60.396;115
29/09/2019;RF;Y;63.488;67.523;59.351;146
23/09/2019;RF_CV;Y;64.477;66.640;62.289;11189

2019-10-19;GBTC;Y;66.63439506889986;68.69877695120414;64.46942148760331;2381
2019-10-20;NB;Y;64.85468765086415;64.87411318751015;64.76721790529322;9
2019-10-20;NB;Y;64,899;64,947;64,683;8
2019-10-20;GBTC;Y;66,417;68,071;64,706;2311
2019-10-20;NB;Y;64,913;64,794;65,449;10
2019-10-20;NB;Y;64,878;64,670;65,813;10
2019-10-20;NB;N;65,119;65,157;64,949;7
2019-10-20;RF;N;63,350;73,058;53,187;160
2019-10-20;RF;Y;62,722;77,807;47,313;161